date,GEOCODE_MUNICIPIOS_DESPUES_2007,Población,Población. Edad media,Población. Edad media Densidad,Población Hombres,Población Mujeres,Población. Índice de feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Índice de Vejez,Índice de Juventud,Índice de Sobreenvejecimiento,Índice de Ancianidad,superficie,Densidad de Población,Densidad de Población Extranjera,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
2020-01-01,38015,4869,47.618299445,47.621000255,2441,2428,99.467431381,4611,258,5.2988293284,533,3162,1174,585,388,201,10.946806326,64.94146642,24.111727254,53.984819734,37.128399747,16.856419987,220.26266417,45.400340716,17.120954003,33.049403748,2743.200000,177.49343832,9.4050743657,97,91,226,155,78,647,4129,138,602,84.801807353,2.8342575478,12.3639351
2020-01-01,38016,1730,49.828901734,49.830324467,901,829,92.008879023,1298,432,24.971098266,164,1062,504,241,157,106,9.4797687861,61.387283237,29.132947977,62.900188324,47.457627119,15.442561205,307.31707317,32.53968254,21.031746032,31.150793651,10258.400000,16.86422834,4.2111830305,33,33,60,47,26,199,1115,108,507,64.450867052,6.2427745665,29.306358382
2020-01-01,38017,51233,38.837848652,38.833035363,25633,25600,99.871259704,38947,12286,23.98063748,8120,37746,5367,3286,1529,552,15.849159721,73.6751703,10.475669978,35.730938378,14.218725163,21.512213215,66.096059113,151.29495062,10.285075461,28.488913732,16250.400000,315.27223945,75.604292817,1257,1594,3388,2451,1150,9840,26534,5656,19043,51.790837936,11.03975953,37.169402534
2020-01-01,38018,5540,45.26101083,45.253854118,2697,2843,105.41342232,5270,270,4.8736462094,709,3623,1208,592,431,185,12.797833935,65.397111913,21.805054152,52.911951421,33.342533812,19.56941761,170.38081805,58.69205298,15.314569536,35.678807947,2380.470000,232.72715052,11.34229795,118,134,297,209,105,863,4878,98,564,88.050541516,1.7689530686,10.180505415
2020-01-01,38019,21796,41.177188475,41.175099099,10799,10997,101.8335031,16862,4934,22.637181134,3035,15495,3266,1830,1070,366,13.924573316,71.091025876,14.984400807,40.664730558,21.077767022,19.586963537,107.61120264,92.927127985,11.206368647,32.76178812,14410.200000,151.25397288,34.239635814,556,597,1235,834,444,3666,13909,1304,6583,63.814461369,5.9827491283,30.202789503
2020-01-01,38020,20662,43.056674088,43.052247275,10207,10455,102.4297051,19338,1324,6.4078985577,2793,14318,3551,1848,1174,529,13.517568483,69.296292711,17.186138806,44.307864227,24.800949853,19.506914374,127.13927676,78.65390031,14.897212053,33.061109547,10288.800000,200.82030946,12.868361714,414,562,1223,815,393,3407,16726,1190,2746,80.950537218,5.7593650179,13.290097764
2020-01-01,38021,1775,49.732112676,49.733014817,912,863,94.627192982,1652,123,6.9295774648,127,1180,468,232,151,85,7.1549295775,66.478873239,26.366197183,50.423728814,39.661016949,10.762711864,368.50393701,27.136752137,18.162393162,32.264957265,3915.870000,45.328368919,3.1410644378,18,28,47,46,26,165,1479,84,212,83.323943662,4.7323943662,11.943661972
2020-01-01,38022,23316,44.947375193,44.944195448,11456,11860,103.52653631,21667,1649,7.0723966375,2769,15748,4799,2422,1662,715,11.875965003,67.541602333,20.582432664,48.056896114,30.473710947,17.583185166,173.31166486,57.699520733,14.898937279,34.632215045,9585.800000,243.23478479,17.20252874,456,575,1092,882,451,3456,19230,559,3527,82.475553268,2.3974952822,15.12695145
2020-01-01,38023,158911,42.965688341,42.962881995,76703,82208,107.17703349,148751,10160,6.3935158674,19393,113304,26214,13973,8669,3572,12.20368634,71.300287582,16.496026077,40.251888724,23.135988138,17.115900586,135.17248492,73.979552911,13.626306554,33.070115206,10245.200000,1551.0775778,99.168391051,3101,3605,8126,6089,3239,24160,125787,9891,23233,79.155627993,6.2242387248,14.620133282
2020-01-01,38024,20760,43.570231214,43.566257704,10071,10689,106.13643134,18257,2503,12.056840077,2704,14307,3749,1858,1248,643,13.02504817,68.916184971,18.058766859,45.103795345,26.203956105,18.89983924,138.6464497,72.12590024,17.151240331,33.288877034,3560.430000,583.07563974,70.300497412,422,506,1165,826,447,3366,15085,961,4714,72.663776493,4.6290944123,22.707129094
